,Name,GP,FGA,FG_percent,3P Made,3P_percent,FTM,FT_percent,OREB,AST,STL,BLK,TOV,TARGET
105,Steve Henson,68,2.8,41.8,0.3,33.3,0.6,90.5,0.2,1.9,0.5,0.0,0.6,1
106,Andy Toolson,47,2.6,40.3,0.3,37.5,0.5,75.8,0.7,0.7,0.3,0.0,0.5,0
107,Jayson Williams,52,3.1,44.7,0.0,50.0,0.7,66.1,0.8,0.3,0.2,0.1,0.8,1
108,Kennard Winchester,64,3.8,40.0,0.1,40.0,0.5,77.8,0.5,0.4,0.3,0.2,0.5,0
109,Johnny O'Bryant,34,3.5,36.7,0.0,0.0,0.4,44.4,0.8,0.5,0.1,0.1,0.7,0
110,Dwayne Schintzius,42,3.7,43.9,0.0,0.0,0.5,55.0,0.7,0.4,0.1,0.7,0.8,1
111,Sean Higgins,50,4.2,45.8,0.1,15.8,0.6,84.8,0.4,0.7,0.2,0.0,1.0,1
112,Elden Campbell,52,2.4,45.5,0.0,0.0,0.6,65.3,0.8,0.2,0.2,0.7,0.3,1
113,Kenny Williams,75,2.4,52.0,0.0,0.0,0.5,68.0,0.7,0.4,0.1,0.4,0.6,0
114,Keith Askins,39,2.1,42.0,0.2,24.0,0.3,48.0,0.8,0.5,0.4,0.3,0.3,1
115,Scott Williams,51,2.0,51.0,0.0,50.0,0.4,71.4,0.8,0.3,0.2,0.3,0.5,1
116,Richard Coffey,52,1.4,37.3,0.0,0.0,0.2,54.5,0.8,0.1,0.1,0.1,0.1,0
117,Steve Scheffler,39,1.0,51.3,0.0,0.0,0.5,90.5,0.5,0.2,0.1,0.1,0.1,1
118,David Robinson*,82,15.9,53.1,0.0,0.0,7.5,73.2,3.7,2.0,1.7,3.9,3.1,1
119,James Young,31,3.3,35.3,0.5,25.8,0.5,55.2,0.3,0.4,0.3,0.1,0.2,0
120,Tim Hardaway,79,12.5,47.1,0.3,27.4,2.7,76.4,0.7,8.7,2.1,0.1,3.3,0
121,Tim Hardaway,79,12.5,47.1,0.3,27.4,2.7,76.4,0.7,8.7,2.1,0.1,3.3,1
122,J.R. Reid,82,9.9,44.0,0.0,0.0,2.3,66.4,2.4,1.2,1.1,0.7,2.1,1
123,Pooh Richardson,82,11.3,46.1,0.3,27.7,0.8,58.9,0.7,6.8,1.6,0.3,1.7,1
124,Sherman Douglas,81,11.6,49.4,0.1,16.1,2.8,68.7,0.9,7.6,1.8,0.1,3.0,1
125,Sam Mitchell,80,10.4,44.6,0.0,0.0,3.4,76.8,2.3,1.1,0.8,0.7,1.2,1
126,Glen Rice,77,13.9,43.9,0.2,24.6,1.2,73.4,1.3,1.8,0.9,0.3,1.5,1
127,Glen Rice,77,13.9,43.9,0.2,24.6,1.2,73.4,1.3,1.8,0.9,0.3,1.5,0
128,Mookie Blaylock,50,11.4,37.1,0.4,22.5,1.3,77.8,0.8,4.2,1.6,0.3,2.2,1
129,Sean Elliott,81,8.0,48.1,0.0,11.1,2.3,86.6,1.6,1.9,0.6,0.2,1.4,1
130,Blue Edwards,82,6.9,50.7,0.1,30.0,1.8,71.9,0.8,1.8,0.9,0.4,1.9,1
131,Cory Jefferson,50,3.3,44.9,0.0,13.3,0.6,57.4,0.9,0.3,0.2,0.4,0.4,0
132,Nick Anderson,81,9.3,49.4,0.0,5.9,2.3,70.5,1.3,1.5,0.8,0.4,1.7,1
133,Stacey King,82,6.5,50.4,0.0,0.0,2.4,72.7,2.1,1.1,0.5,0.7,1.4,1
134,Dana Barros,81,9.1,40.5,1.2,39.9,1.1,80.9,0.4,2.5,0.7,0.0,1.5,1
135,Jeff Martin,69,6.0,41.1,0.0,13.3,1.3,70.5,1.1,0.6,0.6,0.2,0.7,0
136,Clifford Robinson,82,9.2,39.7,0.1,27.3,1.7,55.0,1.3,0.9,0.7,0.7,1.6,1
137,Winston Bennett,55,5.2,47.9,0.0,0.0,1.2,66.7,1.5,1.0,0.4,0.2,1.1,0
138,Chucky Brown,75,6.0,47.0,0.0,0.0,1.7,76.2,1.1,0.7,0.4,0.3,0.9,1
139,Michael Ansley,72,6.5,49.7,0.0,0.0,2.3,72.2,2.6,0.6,0.3,0.2,0.7,0
140,Todd Lichti,79,6.5,48.6,0.0,0.0,1.6,74.7,0.6,1.5,0.7,0.2,1.2,1
141,Noah Vonleh,25,3.0,39.5,0.2,38.5,0.7,69.2,1.1,0.2,0.2,0.4,0.4,0
142,B.J. Armstrong,81,4.8,48.5,0.0,50.0,0.9,88.5,0.2,2.5,0.6,0.1,1.0,1
143,Terry Davis,63,4.2,46.6,0.0,0.0,0.9,62.1,1.5,0.4,0.4,0.4,1.1,1
144,Shawn Kemp,81,5.2,47.9,0.0,16.7,1.4,73.6,1.8,0.3,0.6,0.9,1.3,1
145,Tom Hammonds,61,4.8,43.7,0.0,0.0,1.0,64.3,1.0,0.8,0.2,0.2,0.8,1
146,Scott Haffner,43,5.0,40.6,0.1,14.3,0.4,68.0,0.2,1.9,0.3,0.1,0.8,0
147,Randy White,55,4.6,36.9,0.0,7.1,0.9,56.2,1.4,0.4,0.4,0.1,0.8,1
148,Kenny Battle,59,2.9,54.7,0.0,25.0,0.9,67.1,0.7,0.6,0.6,0.2,0.5,0
149,Donald Royal,66,3.9,45.9,0.0,0.0,2.3,77.7,1.0,0.7,0.5,0.1,1.2,1
150,Michael Carter-Williams,70,15.1,40.5,0.8,26.4,3.7,70.3,1.4,6.3,1.9,0.6,3.5,0
151,Delaney Rudd,77,3.4,42.9,0.2,28.6,0.5,66.0,0.2,2.3,0.3,0.0,1.1,0
152,John Morton,37,4.4,29.8,0.2,23.3,1.2,69.4,0.2,1.8,0.5,0.1,1.4,0
153,Greg Grant,67,3.2,38.4,0.0,18.8,0.6,66.1,0.2,2.5,0.5,0.0,1.1,1
154,Doug Roth,42,2.0,43.0,0.0,0.0,0.2,50.0,1.0,0.5,0.2,0.3,0.4,0
155,Byron Irvin,50,4.1,47.3,0.1,35.7,1.2,67.0,0.6,0.9,0.6,0.0,0.8,0
156,Michael Smith,65,4.4,47.6,0.0,7.1,0.8,82.8,0.6,1.2,0.1,0.0,0.8,0
157,Michael Smith,65,4.4,47.6,0.0,7.1,0.8,82.8,0.6,1.2,0.1,0.0,0.8,1
158,Michael Smith,82,5.0,54.2,0.0,0.0,1.5,48.5,2.1,0.8,0.7,0.6,1.3,0
159,Michael Smith,82,5.0,54.2,0.0,0.0,1.5,48.5,2.1,0.8,0.7,0.6,1.3,1
160,George McCloud,44,3.3,31.3,0.3,32.5,0.3,78.9,0.3,1.0,0.4,0.1,0.8,1
161,Henry Turner,36,3.4,47.5,0.0,0.0,1.1,61.5,0.6,0.6,0.5,0.2,0.7,0
162,Charles Smith,60,2.2,44.4,0.0,0.0,0.9,69.7,0.2,1.7,0.6,0.1,0.6,1
163,Charles Smith,60,2.2,44.4,0.0,0.0,0.9,69.7,0.2,1.7,0.6,0.1,0.6,1
164,Charles Smith,60,2.2,44.4,0.0,0.0,0.9,69.7,0.2,1.7,0.6,0.1,0.6,0
165,Charles Smith,71,12.4,49.5,0.0,0.0,4.0,72.5,2.4,1.5,1.0,1.3,2.1,1
166,Charles Smith,71,12.4,49.5,0.0,0.0,4.0,72.5,2.4,1.5,1.0,1.3,2.1,1
167,Charles Smith,71,12.4,49.5,0.0,0.0,4.0,72.5,2.4,1.5,1.0,1.3,2.1,0
168,Charles Smith,34,3.7,39.2,0.4,31.9,0.2,54.5,0.4,0.6,0.3,0.2,0.8,1
169,Charles Smith,34,3.7,39.2,0.4,31.9,0.2,54.5,0.4,0.6,0.3,0.2,0.8,1
170,Charles Smith,34,3.7,39.2,0.4,31.9,0.2,54.5,0.4,0.6,0.3,0.2,0.8,0
171,Ed Horton,45,3.6,49.4,0.0,0.0,0.9,60.9,1.3,0.4,0.2,0.1,0.9,0
172,Trey Burke,70,12.8,38.0,1.6,33.0,1.5,90.3,0.5,5.7,0.6,0.1,1.9,0
173,Frank Kornet,57,2.0,36.8,0.1,25.0,0.4,61.5,0.4,0.4,0.3,0.1,0.4,0
174,Doug West,52,2.6,39.3,0.1,27.3,0.5,81.3,0.5,0.3,0.2,0.1,0.6,1
175,Adrian Caldwell,51,1.5,55.3,0.0,0.0,0.3,46.4,0.7,0.1,0.2,0.3,0.6,1
176,Kenny Payne,35,3.1,43.5,0.1,40.0,0.5,88.9,0.3,0.3,0.2,0.2,0.6,0
177,Eric Johnson,48,1.8,23.8,0.0,16.7,0.3,76.5,0.2,1.3,0.3,0.0,0.5,0
178,Mike Williams,21,0.9,33.3,0.0,0.0,0.1,50.0,0.2,0.1,0.1,0.3,0.1,0
179,Mike Morrison,36,1.9,33.8,0.1,28.6,0.7,80.0,0.2,0.3,0.1,0.0,0.6,0
180,Nate Johnston,21,2.3,37.5,0.0,25.0,0.4,69.2,0.6,0.0,0.1,0.4,0.3,0
181,Mitch Richmond*,79,17.5,46.8,0.4,36.7,5.2,81.0,2.0,4.2,1.0,0.2,3.4,1
182,Willie Anderson,81,15.9,49.8,0.0,19.0,2.8,77.5,1.9,4.6,1.9,0.8,3.2,1
183,Victor Oladipo,80,11.7,41.9,0.9,32.7,3.1,78.0,0.5,4.1,1.6,0.5,3.2,0
184,Hersey Hawkins,79,12.3,45.5,0.9,42.8,3.1,83.1,0.6,3.0,1.5,0.5,2.0,1
185,Kevin Edwards,79,14.0,42.5,0.1,27.0,1.8,74.6,1.1,4.4,1.8,0.3,3.1,1
186,Grant Long,82,8.4,48.6,0.0,0.0,3.7,74.9,2.9,1.8,1.5,0.6,2.5,1
187,Rex Chapman,75,16.9,41.4,0.8,31.4,2.1,79.5,1.0,2.3,0.9,0.3,1.5,1
188,Brian Shaw,82,8.4,43.3,0.0,0.0,1.3,82.6,1.5,5.8,0.9,0.3,2.3,1
189,Chris Morris,76,11.9,45.7,0.8,36.6,2.4,71.7,2.5,1.6,1.3,0.8,2.5,1
190,Gary Grant,71,11.7,43.5,0.1,22.7,1.7,73.5,1.1,7.1,2.0,0.1,3.6,1
191,Vernon Maxwell,79,10.5,43.2,0.4,24.8,2.3,74.5,0.6,3.8,1.1,0.1,2.3,1
192,Ben McLemore,82,8.3,37.6,1.2,32.0,1.4,80.4,0.6,1.0,0.6,0.2,1.2,0
193,Dan Majerle,54,8.0,41.9,0.5,32.9,1.4,61.4,1.1,2.4,1.2,0.3,0.9,1
194,Sylvester Gray,55,7.2,42.0,0.0,25.0,1.9,67.3,2.1,2.1,0.7,0.5,1.9,0
195,Ricky Berry,64,8.9,45.0,1.0,40.6,2.0,78.9,0.9,1.3,0.6,0.3,1.3,0
196,Tom Garrick,71,5.1,49.0,0.0,0.0,1.4,80.3,0.5,3.4,1.1,0.1,1.6,0
197,Michael Anderson,36,4.9,41.7,0.0,14.3,1.6,69.5,1.2,4.3,1.2,0.1,2.3,0
198,Michael Anderson,65,5.8,50.1,0.0,0.0,1.5,57.1,1.8,1.0,1.0,0.3,1.2,0
199,Vinny Del Negro,80,6.3,47.5,0.1,30.0,1.1,85.0,0.6,2.6,0.8,0.2,1.0,1
200,Kelvin Upshaw,32,6.6,46.7,0.1,20.0,0.6,69.2,0.3,3.7,0.8,0.1,1.7,0
201,Derrick Chievous,81,7.8,43.7,0.1,20.8,2.4,78.3,1.4,1.0,0.6,0.1,1.7,0
202,Ledell Eackles,80,9.2,43.4,0.1,22.5,3.4,78.6,1.3,1.5,0.5,0.1,1.6,1
203,Harvey Grant,71,5.5,46.4,0.0,0.0,0.5,59.6,1.1,1.1,0.5,0.4,0.4,1
204,Rod Strickland,81,7.0,46.7,0.2,32.2,2.1,74.5,0.6,3.9,1.2,0.0,1.8,1
205,Scott Brooks,82,4.5,42.0,0.7,35.9,0.7,88.4,0.2,3.7,0.8,0.0,0.8,1
206,Todd Mitchell,24,4.0,44.3,0.0,0.0,1.5,57.8,0.8,0.9,0.7,0.1,1.4,0
207,John Shasky,65,3.8,48.8,0.0,0.0,1.8,68.9,1.5,0.3,0.2,0.2,0.7,0
208,Mark Bryant,56,4.4,48.6,0.0,0.0,0.7,58.0,1.2,0.6,0.4,0.1,0.7,1
209,Mark Bryant,36,1.6,43.1,0.0,0.0,0.3,69.2,0.7,0.2,0.1,0.1,0.3,1
210,Shelton Jones,51,4.1,44.5,0.0,0.0,1.1,72.5,0.6,0.8,0.4,0.3,0.9,0
211,Eric Leckner,75,2.9,54.5,0.0,0.0,1.1,69.9,0.6,0.2,0.1,0.3,0.9,1
212,Jerome Lane,54,4.7,42.6,0.0,0.0,0.8,38.4,1.6,1.1,0.4,0.1,0.9,1
213,Tim Perry,62,3.2,53.7,0.0,25.0,0.6,61.5,1.0,0.3,0.3,0.5,0.6,1
214,Jim Les,82,1.6,30.1,0.0,7.1,0.7,78.1,0.3,2.6,0.3,0.1,1.1,1
215,Craig Neal,53,2.3,36.6,0.2,29.4,0.3,60.9,0.1,2.2,0.5,0.1,1.0,0
216,David Rivers,47,2.6,40.2,0.0,16.7,0.7,83.3,0.3,2.3,0.5,0.2,1.3,0
217,John Starks,36,3.5,40.8,0.3,38.5,0.9,65.4,0.4,0.8,0.6,0.1,1.1,1
218,Andrew Lang,62,1.9,51.3,0.0,0.0,0.6,65.0,0.9,0.1,0.3,0.8,0.5,1
219,Bill Jones,37,2.8,49.0,0.0,0.0,0.8,67.4,0.5,0.5,0.5,0.2,0.5,0
220,Charles Shackleford,60,2.8,49.4,0.0,0.0,0.4,50.0,0.8,0.4,0.3,0.3,0.5,1
221,Morlon Wiley,51,2.2,40.4,0.1,25.0,0.3,81.3,0.3,1.5,0.5,0.1,0.7,1
222,Randolph Keys,42,4.1,43.0,0.0,10.0,0.5,69.0,0.5,0.5,0.3,0.1,0.5,1
223,Mark Davis,33,3.1,48.0,0.0,10.0,0.8,82.4,0.5,0.4,0.4,0.1,0.4,1
224,Mark Davis,33,3.1,48.0,0.0,10.0,0.8,82.4,0.5,0.4,0.4,0.1,0.4,0
225,Mark Davis,57,2.6,36.9,0.1,30.8,1.3,63.8,1.0,0.8,0.7,0.4,1.2,1
226,Mark Davis,57,2.6,36.9,0.1,30.8,1.3,63.8,1.0,0.8,0.7,0.4,1.2,0
227,Troy Williams,24,5.1,41.8,0.4,24.4,0.6,60.0,0.3,0.8,1.0,0.4,1.1,0
228,Hollis Thompson,77,4.8,46.0,0.9,40.1,0.7,71.2,0.9,0.9,0.7,0.2,0.8,0
229,Ron Grandison,72,2.0,41.5,0.0,0.0,0.8,73.8,0.7,0.6,0.3,0.0,0.5,0
230,Micheal Williams,49,2.6,36.4,0.0,22.2,0.6,66.0,0.2,1.4,0.3,0.1,0.9,1
231,Anthony Frederick,46,2.7,50.4,0.0,40.0,0.5,70.6,0.6,0.4,0.3,0.1,0.7,0
232,Avery Johnson,43,1.9,34.9,0.0,11.1,0.2,56.3,0.3,1.7,0.5,0.1,0.4,1
233,Everette Stephens,35,2.1,31.9,0.1,20.0,0.5,77.3,0.3,1.1,0.3,0.1,0.8,0
234,Jack Haley,51,1.5,47.4,0.0,0.0,0.7,78.3,0.4,0.2,0.2,0.0,0.5,1
235,Duane Ferrell,41,2.0,42.2,0.0,0.0,0.7,68.2,0.5,0.2,0.2,0.1,0.3,1
236,Mark Jackson,82,12.4,43.2,0.4,25.4,2.5,77.4,1.5,10.6,2.5,0.1,3.1,1
237,Kenny Smith,61,11.4,47.7,0.2,30.8,2.7,81.9,0.7,7.1,1.5,0.1,3.0,1
238,Nate Wolters,58,6.7,43.7,0.3,29.0,1.0,65.6,0.6,3.2,0.6,0.3,1.0,0
